"HPI for Three-Digit ZIP Codes (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,
,,,,,,
"* These annual ZIP3 indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. As discussed in the Working Paper 16-01, in cases where sample sizes are small for the three-digit ZIP Code area, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect the native three-digit ZIP index, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the first three digits of the ZIP code, Column B is the year, Column C is the annual change, Column D is the index value with a base of 100 when first recorded, Column E is the index value with a base of 100 in 1990, and Column F is the index value with a base of 100 in 2000. If a ZIP3 HPI has a missing value in Column D in 1990 or 2000 then the ZIP3 HPI will have blank values in Column E or F, respectively.",,,,,,
"** For tracking and feedback purposes, please cite Working Paper 16-01 when using these data. A suggested form is: Bogin, A., Doerner, W. and Larson, W. (2016). Local House Price Dynamics: New Indices and Stylized Facts. Federal Housing Finance Agency, Working Paper 16-01. The working paper is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,
"Last updated: February 23, 2017.",,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,
Three-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
169,2004,0.38,143.00,.,106.68,
169,2005,8.29,154.86,.,115.53,
169,2006,2.32,158.45,.,118.21,
169,2007,6.31,168.46,.,125.67,
169,2008,1.32,170.68,.,127.33,
169,2009,1.41,173.09,.,129.13,
169,2010,3.52,179.18,.,133.68,
169,2011,3.07,184.69,.,137.78,
169,2012,2.44,189.19,.,141.14,
169,2013,-1.83,185.72,.,138.56,
169,2014,-1.26,183.39,.,136.82,
169,2015,-3.02,177.85,.,132.68,
169,2016,2.29,181.93,.,135.72,
170,1975,.,100.00,40.59,31.84,
170,1976,4.46,104.46,42.41,33.26,
170,1977,8.23,113.06,45.90,35.99,
170,1978,11.56,126.13,51.20,40.15,
170,1979,19.85,151.17,61.36,48.12,
170,1980,4.70,158.26,64.25,50.38,
170,1981,-1.66,155.64,63.18,49.55,
170,1982,8.24,168.47,68.39,53.63,
170,1983,1.75,171.41,69.58,54.57,
170,1984,3.16,176.82,71.78,56.29,
170,1985,4.25,184.34,74.83,58.69,
170,1986,5.39,194.28,78.87,61.85,
170,1987,6.02,205.97,83.61,65.57,
170,1988,8.27,223.01,90.53,71.00,
170,1989,5.74,235.81,95.72,75.07,
170,1990,4.47,246.34,100.00,78.42,
170,1991,2.60,252.74,102.60,80.46,
170,1992,2.67,259.48,105.33,82.60,
170,1993,2.36,265.59,107.81,84.55,
170,1994,2.80,273.03,110.84,86.92,
170,1995,3.19,281.75,114.37,89.70,
170,1996,1.62,286.33,116.23,91.15,
170,1997,3.09,295.19,119.83,93.97,
170,1998,2.35,302.13,122.65,96.18,
170,1999,1.68,307.21,124.71,97.80,
170,2000,2.25,314.12,127.51,100.00,
170,2001,3.72,325.80,132.26,103.72,
170,2002,2.94,335.39,136.15,106.77,
170,2003,2.90,345.11,140.09,109.87,
170,2004,6.51,367.56,149.21,117.01,
170,2005,8.52,398.88,161.92,126.98,
170,2006,7.74,429.73,174.45,136.81,
170,2007,4.86,450.63,182.93,143.46,
170,2008,1.05,455.37,184.85,144.97,
170,2009,-1.93,446.57,181.28,142.16,
170,2010,-2.15,436.98,177.39,139.11,
170,2011,-1.50,430.40,174.72,137.02,
170,2012,-2.01,421.75,171.21,134.26,
170,2013,-0.07,421.46,171.09,134.17,
170,2014,0.87,425.11,172.57,135.34,
170,2015,1.25,430.44,174.73,137.03,
170,2016,2.18,439.84,178.55,140.02,
171,1975,.,100.00,41.14,32.59,
171,1976,6.71,106.71,43.90,34.78,
171,1977,2.81,109.71,45.14,35.76,
171,1978,13.74,124.77,51.33,40.67,
171,1979,13.30,141.37,58.16,46.08,
171,1980,9.28,154.49,63.56,50.35,
171,1981,1.21,156.35,64.33,50.96,
171,1982,9.57,171.31,70.48,55.84,
171,1983,0.49,172.15,70.82,56.11,
171,1984,0.65,173.26,71.28,56.47,
171,1985,7.55,186.33,76.66,60.73,
171,1986,4.53,194.78,80.13,63.48,
171,1987,6.30,207.05,85.18,67.48,
171,1988,5.78,219.02,90.11,71.38,
171,1989,6.43,233.09,95.90,75.97,
171,1990,4.28,243.06,100.00,79.22,
171,1991,2.19,248.39,102.19,80.96,
171,1992,2.90,255.60,105.16,83.31,
171,1993,2.22,261.26,107.49,85.15,
171,1994,2.87,268.76,110.57,87.60,
171,1995,2.99,276.81,113.88,90.22,
171,1996,1.82,281.85,115.96,91.86,
171,1997,2.83,289.83,119.24,94.46,
171,1998,2.40,296.79,122.11,96.73,
171,1999,0.65,298.71,122.90,97.36,
171,2000,2.71,306.82,126.23,100.00,
171,2001,3.24,316.77,130.32,103.24,
171,2002,2.47,324.59,133.54,105.79,
171,2003,3.61,336.29,138.36,109.61,
171,2004,6.87,359.40,147.86,117.14,
171,2005,7.54,386.48,159.01,125.96,
171,2006,7.67,416.13,171.21,135.63,
171,2007,4.71,435.73,179.27,142.02,
171,2008,0.86,439.49,180.81,143.24,
171,2009,-1.83,431.45,177.51,140.62,
171,2010,-3.26,417.39,171.72,136.04,
171,2011,-1.66,410.46,168.87,133.78,
171,2012,-3.12,397.65,163.60,129.60,
171,2013,-1.08,393.37,161.84,128.21,
171,2014,-0.62,390.91,160.83,127.41,
171,2015,3.52,404.67,166.49,131.89,
171,2016,0.50,406.68,167.31,132.55,
172,1979,.,100.00,63.75,49.76,
172,1980,3.95,103.95,66.27,51.73,
172,1981,.,.,.,.,
172,1982,.,107.07,68.26,53.28,
172,1983,1.56,108.75,69.33,54.12,
172,1984,-5.28,103.00,65.66,51.26,
172,1985,7.73,110.96,70.74,55.22,
172,1986,8.91,120.84,77.04,60.14,
172,1987,4.52,126.31,80.52,62.86,
172,1988,11.23,140.50,89.57,69.92,
172,1989,7.98,151.71,96.72,75.50,
172,1990,3.40,156.86,100.00,78.06,
172,1991,4.06,163.24,104.06,81.23,
172,1992,3.01,168.15,107.19,83.68,
172,1993,2.51,172.36,109.88,85.78,
172,1994,2.17,176.10,112.26,87.63,
172,1995,1.14,178.11,113.54,88.63,
172,1996,1.61,180.97,115.37,90.06,
172,1997,2.33,185.19,118.06,92.16,
172,1998,3.74,192.12,122.47,95.61,
172,1999,2.00,195.96,124.93,97.52,
172,2000,2.54,200.95,128.10,100.00,
172,2001,5.38,211.76,135.00,105.38,
172,2002,3.98,220.19,140.37,109.58,
172,2003,3.40,227.68,145.15,113.30,
172,2004,10.97,252.67,161.08,125.74,
172,2005,17.08,295.82,188.58,147.21,
172,2006,13.33,335.25,213.72,166.83,
172,2007,2.17,342.53,218.36,170.46,
172,2008,-2.71,333.25,212.45,165.84,
172,2009,-5.70,314.24,200.33,156.38,
172,2010,-5.65,296.50,189.02,147.55,
172,2011,-4.73,282.49,180.09,140.58,
172,2012,-2.08,276.60,176.34,137.65,
172,2013,0.19,277.14,176.68,137.92,
172,2014,1.50,281.31,179.34,139.99,
172,2015,0.76,283.44,180.69,141.05,
172,2016,1.18,286.77,182.82,142.71,
173,1978,.,100.00,51.47,41.83,
173,1979,15.42,115.42,59.41,48.28,
173,1980,-8.36,105.77,54.44,44.24,
173,1981,21.54,128.55,66.17,53.77,
173,1982,2.04,131.18,67.52,54.87,
173,1983,-8.47,120.06,61.80,50.22,
173,1984,7.12,128.61,66.20,53.80,
173,1985,3.07,132.56,68.23,55.45,
173,1986,6.23,140.81,72.48,58.90,
173,1987,8.97,153.45,78.98,64.18,
173,1988,12.00,171.86,88.46,71.89,
173,1989,8.59,186.63,96.06,78.06,
173,1990,4.10,194.28,100.00,81.26,
173,1991,3.00,200.10,103.00,83.70,
173,1992,2.34,204.78,105.41,85.65,
173,1993,2.00,208.87,107.51,87.37,
173,1994,1.13,211.23,108.73,88.35,
173,1995,2.27,216.03,111.20,90.36,
173,1996,1.26,218.75,112.60,91.50,
173,1997,1.89,222.89,114.73,93.23,
173,1998,2.59,228.67,117.70,95.65,
173,1999,1.80,232.78,119.82,97.37,
173,2000,2.70,239.07,123.06,100.00,
173,2001,4.10,248.87,128.10,104.10,
173,2002,3.16,256.75,132.16,107.39,
173,2003,3.46,265.64,136.73,111.11,
173,2004,10.00,292.22,150.41,122.23,
173,2005,15.62,337.87,173.91,141.33,
173,2006,12.21,379.12,195.14,158.58,
173,2007,3.70,393.16,202.37,164.45,
173,2008,-1.31,388.01,199.72,162.30,
173,2009,-6.71,361.96,186.31,151.40,
173,2010,-4.64,345.16,177.66,144.37,
173,2011,-5.42,326.46,168.04,136.55,
173,2012,-4.70,311.10,160.14,130.13,
173,2013,-0.06,310.91,160.04,130.05,
173,2014,0.74,313.22,161.23,131.02,
173,2015,2.27,320.33,164.88,133.99,
173,2016,1.88,326.35,167.98,136.50,
174,1975,.,100.00,38.40,33.03,
174,1976,1.75,101.75,39.07,33.60,
174,1977,8.10,109.99,42.24,36.33,
174,1978,23.18,135.49,52.03,44.75,
174,1979,16.67,158.08,60.70,52.21,
174,1980,-0.78,156.86,60.23,51.81,
174,1981,8.71,170.53,65.48,56.32,
174,1982,-1.86,167.35,64.26,55.27,
174,1983,7.38,179.71,69.01,59.35,
174,1984,-2.47,175.28,67.30,57.89,
174,1985,6.70,187.02,71.81,61.77,
174,1986,2.50,191.69,73.61,63.31,
174,1987,10.40,211.63,81.26,69.89,
174,1988,11.95,236.92,90.97,78.25,
174,1989,5.09,248.97,95.60,82.23,
174,1990,4.60,260.43,100.00,86.01,
174,1991,2.54,267.05,102.54,88.20,
174,1992,2.02,272.44,104.61,89.98,
174,1993,1.64,276.89,106.32,91.45,
174,1994,-0.13,276.52,106.18,91.33,
174,1995,2.18,282.55,108.49,93.32,
174,1996,1.04,285.48,109.62,94.29,
174,1997,0.58,287.13,110.25,94.83,
174,1998,3.50,297.18,114.11,98.15,
174,1999,1.14,300.58,115.42,99.27,
174,2000,0.73,302.78,116.26,100.00,
174,2001,3.86,314.47,120.75,103.86,
174,2002,2.25,321.54,123.46,106.19,
174,2003,2.28,328.87,126.28,108.62,
174,2004,7.46,353.40,135.70,116.72,
174,2005,12.74,398.44,152.99,131.59,
174,2006,11.04,442.41,169.88,146.11,
174,2007,3.88,459.56,176.46,151.78,
174,2008,-1.20,454.06,174.35,149.96,
174,2009,-5.94,427.07,163.99,141.05,
174,2010,-4.36,408.46,156.84,134.90,
174,2011,-3.76,393.12,150.95,129.83,
174,2012,-4.75,374.46,143.79,123.67,
174,2013,-0.93,370.99,142.45,122.53,
174,2014,0.15,371.55,142.67,122.71,
174,2015,2.53,380.96,146.28,125.82,
174,2016,1.86,388.06,149.01,128.16,
175,1975,.,100.00,41.46,34.29,
175,1976,-15.42,84.58,35.07,29.01,
175,1977,12.54,95.18,39.46,32.64,
175,1978,19.47,113.71,47.15,39.00,
175,1979,30.62,148.53,61.58,50.94,
175,1980,-2.54,144.75,60.01,49.64,
175,1981,7.89,156.18,64.75,53.56,
175,1982,-2.86,151.71,62.90,52.03,
175,1983,-0.37,151.15,62.67,51.84,
175,1984,2.86,155.48,64.46,53.32,
175,1985,4.22,162.04,67.18,55.57,
175,1986,5.07,170.25,70.59,58.39,
175,1987,8.92,185.43,76.88,63.59,
175,1988,11.36,206.49,85.61,70.81,
175,1989,11.28,229.79,95.27,78.80,
175,1990,4.97,241.20,100.00,82.72,
175,1991,2.82,248.00,102.82,85.05,
175,1992,1.87,252.63,104.74,86.64,
175,1993,1.49,256.39,106.30,87.93,
175,1994,0.23,256.98,106.54,88.13,
175,1995,1.85,261.72,108.51,89.76,
175,1996,2.31,267.78,111.02,91.83,
175,1997,1.53,271.89,112.72,93.24,
175,1998,2.19,277.83,115.19,95.28,
175,1999,1.96,283.27,117.44,97.14,
175,2000,2.94,291.60,120.90,100.00,
175,2001,3.33,301.30,124.92,103.33,
175,2002,3.21,310.98,128.93,106.65,
175,2003,4.01,323.46,134.10,110.93,
175,2004,8.81,351.94,145.91,120.69,
175,2005,11.13,391.11,162.16,134.13,
175,2006,9.10,426.71,176.91,146.34,
175,2007,3.44,441.40,183.00,151.37,
175,2008,0.23,442.43,183.43,151.73,
175,2009,-3.13,428.59,177.69,146.98,
175,2010,-2.79,416.61,172.73,142.87,
175,2011,-2.57,405.90,168.29,139.20,
175,2012,-2.69,394.96,163.75,135.45,
175,2013,0.58,397.27,164.71,136.24,
175,2014,0.88,400.77,166.16,137.44,
175,2015,1.96,408.64,169.42,140.14,
175,2016,2.80,420.06,174.16,144.06,
176,1975,.,100.00,30.33,26.99,
176,1976,-0.78,99.22,30.09,26.78,
176,1977,30.38,129.37,39.23,34.92,
176,1978,17.78,152.37,46.21,41.13,
176,1979,32.04,201.18,61.01,54.31,
176,1980,0.46,202.10,61.29,54.56,
176,1981,-1.78,198.49,60.19,53.58,
176,1982,6.73,211.86,64.25,57.19,
176,1983,1.56,215.17,65.25,58.08,
176,1984,2.28,220.07,66.74,59.41,
176,1985,4.71,230.43,69.88,62.20,
176,1986,5.01,241.98,73.38,65.32,
176,1987,6.86,258.59,78.42,69.81,
176,1988,11.41,288.09,87.36,77.77,
176,1989,9.08,314.24,95.29,84.83,
176,1990,4.94,329.76,100.00,89.02,
176,1991,3.47,341.19,103.47,92.10,
176,1992,1.00,344.61,104.50,93.03,
176,1993,0.65,346.85,105.18,93.63,
176,1994,0.20,347.54,105.39,93.82,
176,1995,0.29,348.56,105.70,94.09,
176,1996,0.93,351.80,106.69,94.97,
176,1997,0.59,353.87,107.31,95.53,
176,1998,2.39,362.33,109.88,97.81,
176,1999,0.90,365.58,110.86,98.69,
176,2000,1.33,370.44,112.34,100.00,
176,2001,4.09,385.58,116.93,104.09,
176,2002,3.67,399.73,121.22,107.90,
176,2003,3.64,414.26,125.63,111.83,
176,2004,7.58,445.67,135.15,120.31,
176,2005,10.39,491.96,149.19,132.80,
176,2006,9.14,536.92,162.82,144.94,
176,2007,3.27,554.47,168.15,149.68,
176,2008,-0.41,552.18,167.45,149.06,
176,2009,-1.60,543.32,164.76,146.67,
176,2010,-2.65,528.91,160.40,142.78,
176,2011,-2.66,514.84,156.13,138.98,
176,2012,-1.86,505.29,153.23,136.40,
176,2013,0.71,508.88,154.32,137.37,
176,2014,2.11,519.61,157.57,140.27,
176,2015,1.62,528.03,160.13,142.54,
176,2016,3.74,547.81,166.13,147.88,
177,1977,.,100.00,61.59,46.67,
177,1978,0.83,100.83,62.10,47.06,
177,1979,13.31,114.25,70.37,53.32,
177,1980,-6.32,107.03,65.92,49.95,
177,1981,.,.,.,.,
177,1982,.,.,.,.,
177,1983,.,101.27,62.37,47.26,
177,1984,18.91,120.42,74.17,56.20,
177,1985,-1.49,118.62,73.06,55.36,
177,1986,5.13,124.70,76.81,58.20,
177,1987,9.33,136.34,83.97,63.62,
177,1988,11.94,152.62,94.00,71.22,
177,1989,0.92,154.02,94.86,71.88,
177,1990,5.42,162.36,100.00,75.77,
177,1991,6.33,172.65,106.33,80.57,
177,1992,5.63,182.36,112.32,85.10,
177,1993,3.58,188.88,116.33,88.15,
177,1994,1.95,192.56,118.60,89.86,
177,1995,0.78,194.07,119.53,90.57,
177,1996,3.97,201.77,124.27,94.16,
177,1997,1.09,203.98,125.63,95.19,
177,1998,1.89,207.83,128.01,96.99,
177,1999,1.37,210.68,129.76,98.32,
177,2000,1.71,214.28,131.98,100.00,
177,2001,4.44,223.79,137.83,104.44,
177,2002,2.84,230.13,141.74,107.40,
177,2003,2.22,235.25,144.89,109.79,
177,2004,5.31,247.75,152.59,115.62,
177,2005,6.35,263.48,162.28,122.96,
177,2006,5.13,277.01,170.61,129.27,
177,2007,4.29,288.90,177.93,134.82,
177,2008,0.60,290.62,178.99,135.63,
177,2009,0.03,290.70,179.04,135.66,
177,2010,1.33,294.56,181.42,137.46,
177,2011,2.10,300.75,185.23,140.35,
177,2012,2.58,308.52,190.01,143.98,
177,2013,2.44,316.04,194.65,147.49,
177,2014,0.32,317.07,195.28,147.97,
177,2015,3.79,329.08,202.68,153.57,
177,2016,0.53,330.82,203.75,154.38,
178,1978,.,100.00,56.97,44.51,
178,1979,2.55,102.55,58.43,45.64,
178,1980,2.48,105.10,59.88,46.77,
178,1981,.,.,.,.,
178,1982,.,.,.,.,
178,1983,.,117.47,66.92,52.28,
178,1984,2.92,120.89,68.87,53.80,
178,1985,0.03,120.93,68.90,53.82,
178,1986,8.71,131.46,74.90,58.51,
178,1987,10.27,144.97,82.59,64.52,
178,1988,8.24,156.91,89.40,69.83,
178,1989,7.69,168.97,96.27,75.20,
178,1990,3.88,175.53,100.00,78.12,
178,1991,6.04,186.12,106.04,82.84,
178,1992,4.09,193.74,110.38,86.23,
178,1993,3.28,200.10,114.00,89.05,
178,1994,2.57,205.23,116.92,91.34,
178,1995,1.88,209.10,119.13,93.06,
178,1996,3.14,215.66,122.86,95.98,
178,1997,0.09,215.85,122.97,96.07,
178,1998,2.60,221.46,126.17,98.56,
178,1999,0.10,221.69,126.30,98.66,
178,2000,1.35,224.69,128.01,100.00,
178,2001,5.99,238.15,135.68,105.99,
178,2002,1.87,242.59,138.21,107.97,
178,2003,2.13,247.76,141.15,110.27,
178,2004,5.73,261.95,149.24,116.58,
178,2005,6.11,277.95,158.35,123.70,
178,2006,6.40,295.75,168.49,131.63,
178,2007,4.77,309.86,176.53,137.90,
178,2008,2.89,318.82,181.64,141.89,
178,2009,-0.51,317.19,180.71,141.17,
178,2010,0.45,318.61,181.52,141.80,
178,2011,-0.01,318.59,181.51,141.79,
178,2012,0.31,319.57,182.07,142.23,
178,2013,1.83,325.41,185.39,144.83,
178,2014,1.74,331.07,188.62,147.35,
178,2015,0.65,333.23,189.85,148.31,
178,2016,1.29,337.53,192.30,150.22,
179,1986,.,100.00,75.68,58.84,
179,1987,5.20,105.20,79.61,61.89,
179,1988,6.57,112.11,84.84,65.96,
179,1989,16.30,130.38,98.67,76.71,
179,1990,1.35,132.14,100.00,77.75,
179,1991,6.78,141.10,106.78,83.02,
179,1992,1.17,142.76,108.03,83.99,
179,1993,2.94,146.96,111.22,86.47,
179,1994,-0.38,146.40,110.80,86.14,
179,1995,3.95,152.19,115.17,89.54,
179,1996,1.37,154.28,116.75,90.77,
179,1997,0.77,155.46,117.65,91.47,
179,1998,5.97,164.74,124.67,96.93,
179,1999,0.96,166.32,125.86,97.85,
179,2000,2.19,169.96,128.62,100.00,
179,2001,3.70,176.25,133.38,103.70,
179,2002,1.48,178.85,135.35,105.23,
179,2003,1.74,181.96,137.70,107.06,
179,2004,4.24,189.67,143.54,111.60,
179,2005,5.78,200.64,151.84,118.05,
179,2006,7.51,215.71,163.25,126.92,
179,2007,3.80,223.92,169.46,131.75,
179,2008,-0.28,223.28,168.98,131.37,
179,2009,-2.49,217.72,164.77,128.10,
179,2010,-3.45,210.21,159.08,123.68,
179,2011,-0.66,208.82,158.03,122.86,
179,2012,-2.31,204.00,154.38,120.03,
179,2013,0.31,204.63,154.86,120.40,
179,2014,-0.67,203.27,153.83,119.60,
179,2015,1.14,205.59,155.58,120.96,
179,2016,3.29,212.34,160.70,124.94,
180,1975,.,100.00,36.23,33.96,
180,1976,1.23,101.23,36.67,34.38,
180,1977,-0.60,100.63,36.45,34.18,
180,1978,20.61,121.36,43.96,41.22,
180,1979,1.63,123.34,44.68,41.89,
180,1980,8.62,133.97,48.53,45.50,
180,1981,4.93,140.58,50.93,47.75,
180,1982,3.17,145.05,52.54,49.26,
180,1983,2.35,148.45,53.78,50.42,
180,1984,6.09,157.49,57.05,53.49,
180,1985,6.71,168.05,60.88,57.08,
180,1986,8.70,182.67,66.17,62.04,
180,1987,17.86,215.29,77.99,73.12,
180,1988,23.27,265.38,96.14,90.14,
180,1989,4.85,278.25,100.80,94.51,
180,1990,-0.79,276.05,100.00,93.76,
180,1991,-1.25,272.61,98.75,92.59,
180,1992,0.70,274.50,99.44,93.23,
180,1993,-0.30,273.67,99.14,92.95,
180,1994,-1.25,270.24,97.90,91.78,
180,1995,-0.52,268.84,97.39,91.31,
180,1996,1.50,272.87,98.85,92.68,
180,1997,0.88,275.28,99.72,93.50,
180,1998,2.05,280.92,101.77,95.42,
180,1999,1.46,285.04,103.26,96.81,
180,2000,3.29,294.42,106.66,100.00,
180,2001,5.24,309.86,112.25,105.24,
180,2002,5.27,326.18,118.16,110.79,
180,2003,5.50,344.12,124.66,116.88,
180,2004,12.33,386.54,140.03,131.29,
180,2005,14.59,442.92,160.45,150.44,
180,2006,10.31,488.58,176.99,165.95,
180,2007,2.33,499.96,181.12,169.81,
180,2008,-2.92,485.34,175.82,164.84,
180,2009,-6.49,453.84,164.41,154.15,
180,2010,-4.09,435.30,157.69,147.85,
180,2011,-4.35,416.35,150.83,141.41,
180,2012,-3.81,400.48,145.08,136.02,
180,2013,0.00,400.50,145.08,136.03,
180,2014,1.39,406.05,147.09,137.91,
180,2015,1.28,411.23,148.97,139.67,
180,2016,2.18,420.18,152.21,142.71,
181,1976,.,100.00,38.21,38.22,
181,1977,-12.74,87.26,33.34,33.35,
181,1978,47.58,128.78,49.21,49.22,
181,1979,0.94,129.99,49.67,49.68,
181,1980,10.83,144.06,55.04,55.06,
181,1981,1.80,146.65,56.03,56.05,
181,1982,2.88,150.87,57.65,57.66,
181,1983,2.37,154.45,59.01,59.03,
181,1984,2.77,158.73,60.65,60.67,
181,1985,5.61,167.64,64.05,64.07,
181,1986,7.22,179.74,68.68,68.70,
181,1987,11.72,200.81,76.73,76.75,
181,1988,24.17,249.35,95.27,95.30,
181,1989,7.73,268.62,102.64,102.67,
181,1990,-2.57,261.72,100.00,100.03,
181,1991,-0.25,261.06,99.75,99.78,
181,1992,-0.02,261.02,99.73,99.77,
181,1993,-1.21,257.85,98.52,98.55,
181,1994,-2.08,252.49,96.48,96.51,
181,1995,-3.48,243.72,93.12,93.15,
181,1996,0.82,245.71,93.88,93.91,
181,1997,1.64,249.74,95.43,95.45,
181,1998,1.54,253.60,96.90,96.93,
181,1999,0.80,255.63,97.67,97.71,
181,2000,2.35,261.63,99.97,100.00,
181,2001,5.81,276.82,105.77,105.81,
181,2002,4.89,290.36,110.95,110.98,
181,2003,4.41,303.18,115.84,115.88,
181,2004,11.08,336.76,128.67,128.71,
181,2005,14.13,384.33,146.85,146.90,
181,2006,13.15,434.89,166.17,166.22,
181,2007,3.69,450.93,172.30,172.35,
181,2008,-3.36,435.76,166.50,166.55,
181,2009,-7.61,402.58,153.82,153.87,
181,2010,-4.95,382.63,146.20,146.25,
181,2011,-4.20,366.57,140.06,140.11,
181,2012,-4.30,350.79,134.04,134.08,
181,2013,-0.47,349.16,133.41,133.45,
181,2014,1.46,354.26,135.36,135.40,
181,2015,1.28,358.80,137.09,137.14,
181,2016,2.98,369.50,141.19,141.23,
182,1986,.,100.00,68.75,60.39,
182,1987,5.07,105.07,72.23,63.45,
182,1988,19.82,125.89,86.55,76.02,
182,1989,14.32,143.91,98.94,86.90,
182,1990,1.07,145.46,100.00,87.84,
182,1991,3.00,149.83,103.00,90.48,
182,1992,4.12,156.01,107.25,94.21,
182,1993,1.65,158.59,109.02,95.76,
182,1994,-4.05,152.16,104.61,91.88,
182,1995,3.11,156.90,107.87,94.75,
182,1996,1.56,159.34,109.54,96.22,
182,1997,0.19,159.65,109.76,96.41,
182,1998,4.38,166.64,114.56,100.63,
182,1999,-2.35,162.73,111.87,98.26,
182,2000,1.77,165.60,113.85,100.00,
182,2001,4.67,173.34,119.17,104.67,
182,2002,3.57,179.52,123.42,108.41,
182,2003,2.56,184.13,126.58,111.19,
182,2004,4.87,193.10,132.75,116.61,
182,2005,10.23,212.86,146.33,128.54,
182,2006,10.22,234.61,161.29,141.67,
182,2007,5.52,247.55,170.18,149.49,
182,2008,-1.76,243.19,167.18,146.85,
182,2009,-4.03,233.38,160.44,140.93,
182,2010,-4.09,223.84,153.88,135.17,
182,2011,-2.80,217.58,149.58,131.39,
182,2012,-2.75,211.59,145.47,127.77,
182,2013,-1.53,208.36,143.24,125.82,
182,2014,0.80,210.03,144.39,126.83,
182,2015,-1.98,205.87,141.53,124.32,
182,2016,2.07,210.14,144.47,126.90,
183,1983,.,100.00,45.42,44.51,
183,1984,17.10,117.10,53.19,52.13,
183,1985,14.15,133.67,60.72,59.50,
183,1986,7.08,143.13,65.01,63.71,
183,1987,22.90,175.90,79.90,78.30,
183,1988,15.06,202.39,91.93,90.09,
183,1989,8.06,218.70,99.34,97.36,
183,1990,0.66,220.15,100.00,98.00,
183,1991,-4.80,209.59,95.20,93.30,
183,1992,-2.16,205.06,93.14,91.28,
183,1993,1.40,207.92,94.44,92.56,
183,1994,-2.06,203.64,92.50,90.65,
183,1995,-2.22,199.12,90.45,88.64,
183,1996,0.94,200.99,91.30,89.47,
183,1997,2.42,205.85,93.50,91.63,
183,1998,2.43,210.86,95.78,93.86,
183,1999,0.02,210.91,95.80,93.88,
183,2000,6.51,224.65,102.04,100.00,
183,2001,4.63,235.05,106.77,104.63,
183,2002,5.62,248.26,112.77,110.51,
183,2003,4.68,259.87,118.04,115.68,
183,2004,11.02,288.50,131.05,128.43,
183,2005,12.52,324.62,147.46,144.51,
183,2006,8.88,353.45,160.55,157.34,
183,2007,1.42,358.46,162.82,159.57,
183,2008,-5.34,339.33,154.14,151.05,
183,2009,-7.57,313.63,142.46,139.61,
183,2010,-6.17,294.26,133.66,130.99,
183,2011,-5.02,279.49,126.96,124.42,
183,2012,-7.54,258.43,117.39,115.04,
183,2013,-2.79,251.21,114.11,111.83,
183,2014,0.92,253.51,115.15,112.85,
183,2015,-1.91,248.67,112.95,110.69,
183,2016,0.52,249.95,113.54,111.27,
184,1979,.,100.00,46.18,39.51,
184,1980,1.16,101.16,46.71,39.97,
184,1981,20.75,122.14,56.41,48.26,
184,1982,.,.,.,.,
184,1983,.,113.12,52.24,44.70,
184,1984,13.98,128.94,59.54,50.95,
184,1985,6.08,136.77,63.16,54.04,
184,1986,7.27,146.71,67.75,57.97,
184,1987,16.44,170.83,78.89,67.50,
184,1988,15.31,196.97,90.96,77.83,
184,1989,6.04,208.86,96.45,82.53,
184,1990,3.68,216.54,100.00,85.56,
184,1991,-0.46,215.55,99.54,85.17,
184,1992,4.81,225.92,104.33,89.27,
184,1993,0.48,227.01,104.83,89.70,
184,1994,0.39,227.89,105.24,90.05,
184,1995,-3.06,220.91,102.02,87.29,
184,1996,7.22,236.86,109.38,93.59,
184,1997,-1.37,233.62,107.89,92.31,
184,1998,2.82,240.20,110.92,94.91,
184,1999,1.60,244.04,112.70,96.42,
184,2000,3.71,253.09,116.88,100.00,
184,2001,4.07,263.39,121.63,104.07,
184,2002,3.16,271.72,125.48,107.36,
184,2003,2.65,278.94,128.81,110.21,
184,2004,6.42,296.85,137.09,117.29,
184,2005,8.78,322.92,149.13,127.59,
184,2006,7.71,347.82,160.62,137.43,
184,2007,4.26,362.65,167.47,143.29,
184,2008,-0.01,362.60,167.45,143.27,
184,2009,-2.10,354.98,163.93,140.26,
184,2010,-3.48,342.63,158.23,135.38,
184,2011,-2.46,334.20,154.34,132.05,
184,2012,-2.79,324.89,150.04,128.37,
184,2013,-0.44,323.47,149.38,127.81,
184,2014,-0.81,320.86,148.17,126.78,
184,2015,0.94,323.88,149.57,127.97,
184,2016,0.70,326.16,150.62,128.87,
185,1979,.,100.00,47.08,37.44,
185,1980,6.20,106.20,50.00,39.76,
185,1981,19.61,127.02,59.81,47.56,
185,1982,-18.32,103.75,48.85,38.85,
185,1983,7.42,111.44,52.47,41.73,
185,1984,6.29,118.45,55.77,44.35,
